ctrai,con trai
khôg,không
bme,bố mẹ
cta,chúng ta
mih,mình
mqh,mối quan hệ
cgai,con gái
nhữg,những
mng,mọi người
svtn,sinh viên tình nguyện
r,rồi
qtam,quan tâm
thươg,thương
qtâm,quan tâm
chug,chung
trườg,trường
thoy,thôi
đki,đăng ký
ạk,ạ
cv,công việc
cùg,cùng
pn,bạn
pjt,biết
thjk,thích
ktra,kiểm tra
nek,nè
cgái,con gái
nthe,như thế
chúg,chúng
kái,cái
tìh,tình
phòg,phòng
lòg,lòng
từg,từng
rằg,rằng
sốg,sống
thuj,thôi
thuơng,thương
càg,càng
đky,đăng ký
bằg,bằng
sviên,sinh viên
ák,á
đág,đáng
nvay,như vậy
nhjeu,nhiều
xg,xuống
zồi,rồi
trag,trang
zữ,dữ
atrai,anh trai
kte,kinh tế
độg,động
gắg,gắng
đzai,đẹp trai
thgian,thời gian
đồg,đồng
btrai,bạn trai
nthê,như thế
vọg,vọng
đôg,đông
răg,răng
thườg,thường
tcảm,tình cảm
đứg,đứng
ksao,không sao
dz,đẹp trai
xuốg,xuống
nkư,như
lquan,liên quan
tiếg,tiếng
hajz,hai
xih,xinh
hìh,hình
thàh,thành
ngke,nghe
dzậy,dậy
tnào,thế nào
tưởg,tưởng
ctrinh,chương trình
phog,phong
hôg,không
zìa,gì
kũg,cũng
ntnao,như thế nào
trọg,trọng
nthế,như thế
năg,năng
ngđó,người đó
lquen,làm quen
riêg,riêng
ngag,ngang
bnhiu,bao nhiêu
ngốk,ngốc
kậu,cậu
kqua,kết quả
htrc,hôm trước
địh,định
gđình,gia đinh
giốg,giống
csống,cuộc sống
zùi,rồi
bnhiêu,bao nhiêu
cbị,chuẩn bị
kòn,còn
buôg,buông
csong,cuộc sống
chàg,chàng
chăg,chăng
ngàh,ngành
llac,liên lạc
nkưng,nhưng
nắg,nắng
tíh,tính
khoảg,khoảng
thík,thích
ngđo,người đó
ngkhác,người khác
thẳg,thẳng
kảm,cảm
dàh,dành
júp,giúp
lặg,lặng
vđê,vấn đề
bbè,bạn bè
bóg,bóng
dky,đăng ký
dòg,dòng
uốg,uống
tyêu,tình yêu
snvv,sinh nhật vui vẻ
đthoại,điện thoại
qhe,quan hệ
cviec,công việc
tượg,tượng
qà,quà
thjc,thích
nhưq,nhưng
cđời,cuộc đời
bthường,bình thường
zà,già
đáh,đánh
xloi,xin lỗi
zám,dám
qtrọng,quan trọng
bìh,bình
lzi,làm gì
qhệ,quan hệ
đhbkhn,đại học bách khoa hà nội
hajzz,hai
kủa,của
lz,làm gì
đhkhtn,đại học khoa học tự nhiên
đóg,đóng
cka,cha
lgi,làm gì
nvậy,như vậy
qả,quả
đkiện,điều kiện
nèk,nè
tlai,tương lai
bsĩ,bác sĩ
hkì,học kỳ
đcsvn,đảng cộng sản việt nam
vde,vấn đề
chta,chúng ta
òy,rồi
ltinh,linh tinh
ngyeu,người yêu
đthoai,điện thoại
snghĩ,suy nghĩ
nặg,nặng
họk,học
dừg,dừng
hphúc,hạnh phúc
wtâm,quan tâm
thíck,thích
chuện,chuyện
lạh,lạnh
ntnày,như thế này
lúk,lúc
ngía,nghía
mớj,mới
hsơ,hồ sơ
ctraj,con trai
nyêu,người yêu
rồii,rồi
c,chị
kih,kinh
kb,kết bạn
dthương,dễ thương
nhiềuuu,nhiều
ctrình,chương trình
mìnk,mình
mjh,mình
ng,người
vc,vợ chồng
uhm,ừ
thỳ,thì
nyc,người yêu cũ
tks,cám ơn
nàg,nàng
thôii,thôi
đjên,điên
bgái,bạn gái
vớii,với
xink,xinh
hđộng,hành động
đhọc,đại học
mk,mình
bn,bạn
thik,thích
cj,chị
mn,mọi người
nguoi,người
nógn,nóng
hok,không
ko,không
bik,biết
vs,với
cx,cũng
mik,mình
đc,được
cmt,comment
ck,chồng
chk,chồng
ngta,người ta
gđ,gia đình
oh,ồ
vk,vợ
ctác,công tác
sg,sài gòn
ae,anh em
ah,à
ạh,ạ
rì,gì
ms,mới
vn,việt nam
nhaa,nha
cũg,cũng
đag,đang
ace,anh chị em
àk,à
uh,ừ
hnay,hôm nay
ukm,ừ
tq,trung quốc
ctr,chương trình
đii,đi
nch,nói chuyện
trieu,triệu
nta,người ta
ngèo,nghèo
kêh,kênh
ak,à
ad,admin
j,gì
ny,người yêu
dc,được
qc,quảng cáo
baoh,bao giờ
zui,vui
zẻ,vẻ
tym,tim
aye,anh yêu em
eya,em yêu anh
fb,facebook
insta,instagram
z,vậy
thich,thích
đt,điện thoại
acc,account
trc,trước
chs,chẳng hiểu sao
qá,quá
ntn,như thế nào
wá,quá
zậy,vậy
zô,vô
ytb,youtube
xl,xin lỗi
face,facebook
vv,vui vẻ
ns,nói
iu,yêu
in4,thông tin
sub,subcribe
kh,không
zạ,dạ
oy,rồi
jo,giờ
bsvv,buổi sáng vui vẻ
troai,trai
wa,quá
e,em
ik,ý
ji,gì
ce,chị em
lm,làm
đz,đẹp giai
sr,sorry
ib,inbox
hoy,thôi
k,không
vd,ví dụ
a,anh
cũng z,cũng vậy
z là,vậy là
fen,friend
cty,công ty
on lai,online
kô,không
hqua,hôm qua
xog,xong
uh,ừ
uk,ừ
nhoé,nhé
biet,biết
quí,quý
stk,số tài khoản
hong kong,hồng kông
đươc,được
nghành,ngành
nvqs,nghĩa vụ quân sự
ngừoi,người
trog,trong
tgian,thời gian
biêt,biết
fải,phải
nguời,người
bth,bình thường
tgdd,thế giới di động
khg,không
nhưg,nhưng
thpt,trung học phổ thông
thằg,thằng
đuợc,được
dc,được
đc,được
ah,à
àh,à
onl,online
zô,vô
sđt,số điện thoại
klq,không liên quan
bít,biết
v,vậy
mìk,mình
mún,muốn
qui,quy
đê,đi